Price,Address,Beds,Baths,Footage,Type
350000,5,3,1,94,4
1525000,15,5,5,280,6
259000,5,1,1,43,2
395000,16,3,1,80,4
255000,13,2,2,66,2
318000,17,3,1,80,5
259950,13,2,2,82,6
425000,7,4,3,118,4
365000,18,3,2,88,2
325000,18,1,1,47,2
350000,10,2,1,60,5
215000,15,2,2,63,2
375000,7,2,2,67,2
1400000,4,3,4,237,2
225000,11,1,1,29,2
3800000,18,24,16,1097,2
260000,15,2,2,61,2
335000,11,3,1,92,4
395000,15,4,4,131,4
495000,14,3,1,89,4
525000,24,3,2,115,6
180000,9,2,2,65,2
275000,15,3,2,85,4
