Price,Address,Beds,Baths,Footage,Type
"€395,000","32 Ashcroft, Raheny, Dublin 5",3 Bed,1 Bath,76 m²,Terrace
"€1,200,000","21 Grove Park, Rathmines, Dublin 6",9 Bed,N/A,204 m²,Terrace
"€495,000","131 Raheny Road, Raheny, Dublin 5",3 Bed,1 Bath,108 m²,Semi-D
"€250,000","Apartment 180, Temple Court, Northwood, Santry, Dublin 9",2 Bed,2 Bath,68 m²,Apartment
"€265,000","6 Westbourne View, Clondalkin, Clondalkin, Dublin 22",3 Bed,1 Bath,73 m²,Terrace
"€300,000","Apartment 14, Garthy Wood, Knocklyon, Dublin 16",2 Bed,2 Bath,N/A,Apartment
"€875,000","4 Cumberland Road, Off Fitzwilliam Place, Dublin 2",2 Bed,2 Bath,110 m²,Semi-D
"€925,000","5 Kilgobbin Lawn, Stepaside, Stepaside, Dublin 18",4 Bed,3 Bath,169 m²,Detached
"€375,000","79 Burnell Square, Malahide Road, D17YP28, Northern Cross",2 Bed,2 Bath,N/A,Apartment
"€490,000","1 Walker's Cottages, Ranelagh, Ranelagh, Dublin 6",2 Bed,1 Bath,82 m²,Semi-D
"€325,000","337 Bunratty Road, Coolock, Coolock, Dublin 5",3 Bed,1 Bath,85 m²,Terrace
"€324,950","61 Walkinstown Avenue, Walkinstown, Dublin 12",3 Bed,1 Bath,N/A,End of Terrace
"€425,000","303 Castleforbes Square, Castleforbes Road, Dublin 1",2 Bed,2 Bath,90 m²,Apartment
"€995,000","38 Merlyn Road, Ballsbridge, Dublin 4",4 Bed,1 Bath,173 m²,Semi-D
"€350,000","4 Leinster Street East, North Strand, North Strand, Dublin 3",3 Bed,1 Bath,88 m²,Terrace
"€335,000","41 Willows Drive, Clonsilla, Hartstown, Dublin 15",3 Bed,2 Bath,100 m²,Semi-D
"€600,000","118 Dorset Street Upper, Dublin 1",4 Bed,2 Bath,148 m²,End of Terrace
"€345,000","22 Castle Park, Swords, Co. Dublin",3 Bed,2 Bath,80 m²,Terrace
"€359,000","2 Castlelyon Avenue, Newcastle, Co. Dublin",3 Bed,3 Bath,104 m²,End of Terrace
"€324,950","19 Kilfenora Road, Kimmage, Dublin 12",2 Bed,1 Bath,N/A,Terrace
"€360,000","Apartment 122, The Lighthouse, Church Road, East Wall, Dublin 3",2 Bed,2 Bath,N/A,Apartment
"€535,000","3 Martin Grove, Blackhorse Avenue, Dublin 7",3 Bed,3 Bath,126 m²,Semi-D
"€360,000","32 Grangemore Grove, Donaghmede, Donaghmede, Dublin 13",3 Bed,1 Bath,79 m²,Semi-D
"€315,000","7 Glebe Close, Newcastle, Co. Dublin",3 Bed,2 Bath,107 m²,Terrace
"€325,000","12 Clonshaugh Glen, Clonshaugh, Dublin 17",3 Bed,2 Bath,97 m²,Terrace
"€365,000","32 Drumcliffe Road, Cabra, D07, Dublin 7",2 Bed,1 Bath,60 m²,Semi-D
"€1,795,000","Newhaven, Marlborough Park, Glenageary, Co. Dublin",5 Bed,4 Bath,236 m²,Detached
"€475,000","12 O'Carolan Road, The Tenters, Dublin 8",3 Bed,2 Bath,83 m²,Terrace
"€625,000","Rooftops, 7 Waltersland Road, Stillorgan, Co. Dublin",3 Bed,1 Bath,118 m²,Detached
"€475,000","23 Ailesbury Mews, Sandymount, Dublin 4",2 Bed,1 Bath,74 m²,End of Terrace
"€410,000","30 Murtagh Road, Stoneybatter, Stoneybatter, Dublin 7",2 Bed,1 Bath,64 m²,Terrace
"€250,000","68 Cherrywood Grove, Clondalkin, Clondalkin, Dublin 22",3 Bed,1 Bath,71 m²,Bungalow
"€370,000","12 Ivar Street, Stoneybatter, Stoneybatter, Dublin 7",2 Bed,1 Bath,57 m²,Terrace
"€365,000","7 Corbally Avenue, Citywest, Co. Dublin",4 Bed,3 Bath,128 m²,Semi-D
"€465,000","46 Elmbrook Avenue, Lucan, Co. Dublin",4 Bed,3 Bath,101 m²,Semi-D
"€350,000","6 Saint Helen's Green, Adamstown, Adamstown, Co. Dublin",3 Bed,3 Bath,96 m²,End of Terrace
"€925,000","14 Stradbrook Grove, Blackrock, Co. Dublin",5 Bed,3 Bath,156 m²,Semi-D
"€225,000","15 Sheepmoor Grove, Blanchardstown, Dublin 15",3 Bed,1 Bath,85 m²,House
"€1,800,000","12 Merton Road, Rathmines, Dublin 6",5 Bed,2 Bath,217 m²,Semi-D
"€625,000","14 Wellpark Avenue, Drumcondra, Dublin 9",2 Bed,1 Bath,100 m²,Terrace
"€425,000","30 Avondale Avenue, Phibsborough, Dublin 7",2 Bed,1 Bath,N/A,Terrace
"€425,000","36 The Courtyard, Fortfield Square, College Drive, Terenure, Dublin 6",2 Bed,2 Bath,77 m²,Apartment
"€260,000","22 Carnegie Court, Swords, Co. Dublin",2 Bed,2 Bath,N/A,Apartment
"€480,000","32 Brookwood Crescent, Artane, Dublin 5",3 Bed,1 Bath,95 m²,End of Terrace
"€625,000","21 St. Assams Road West, Raheny, Dublin 5",3 Bed,2 Bath,115 m²,Semi-D
"€580,000","21 Pelletstown Avenue, Ashtown, Dublin 15",5 Bed,4 Bath,N/A,Semi-D
"€310,000","9 Saint Joseph's Place, Prussia Street, Stoneybatter, Dublin 7",2 Bed,1 Bath,56 m²,Terrace
"€925,000","29 Clare Road, Drumcondra, Dublin 9",4 Bed,1 Bath,116 m²,Semi-D
"€850,000","2 Kilteragh Pines, Off Westminster Road, Foxrock, Dublin 18",3 Bed,2 Bath,190 m²,Detached
"€365,000","5 Slaney House, Custom House Square, IFSC, Dublin 1",2 Bed,1 Bath,67 m²,Apartment
"€375,000","1 Castlepark Residence, Castlepark Road, Dalkey, Co. Dublin",1 Bed,1 Bath,50 m²,Apartment
"€474,950","11 Grange Terrace, Deans Grange, Co. Dublin",2 Bed,1 Bath,72 m²,Terrace
